Name,City,State,Total Enrollment,Enrollment Men,Enrollment Women,Another Gender,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident
Academy of Chinese Culture and Health Sciences,Oakland,CA,111,33,78,11,4,47,4,7,2,39,3,3,2
Academy of Esthetics and Cosmetology,San Fernando,CA,21,3,18,0,1,0,1,17,0,2,0,0,0
Acupuncture and Integrative Medicine College-Berkeley,Berkeley,CA,116,20,96,8,1,23,5,6,2,66,7,5,1
Adrian's Beauty College of Turlock,Turlock,CA,97,0,97,0,2,0,1,52,0,35,7,0,0
Advance Beauty College,Garden Grove,CA,516,70,446,0,0,293,10,129,0,72,4,0,8
Advance Beauty Techs Academy,San Jacinto,CA,88,32,56,0,2,1,10,67,2,6,0,0,0
Advanced Career Institute,Visalia,CA,910,770,140,0,4,26,138,553,7,157,4,20,1
Agape College of Business and Science,Fresno,CA,37,5,32,0,0,0,8,24,0,5,0,0,0
Alder Graduate School of Education,Redwood City,CA,322,72,250,18,0,29,40,183,1,52,17,0,0
Alhambra Medical University,Alhambra,CA,143,37,106,0,0,120,1,3,0,5,0,0,14
Allan Hancock College,Santa Maria,CA,10329,4802,5527,198,30,313,203,7166,54,1977,297,266,23
Alliant International University-San Diego,San Diego,CA,3599,833,2766,3,20,283,283,1039,19,1378,123,245,209
America Evangelical University,Gardena,CA,128,81,47,0,0,29,0,0,0,0,0,0,99
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,220,93,127,1,0,7,28,31,0,75,9,1,69
American Beauty College,West Covina,CA,234,55,179,0,5,16,7,186,0,19,0,1,0
American Career College-Anaheim,Anaheim,CA,1465,383,1082,0,12,320,74,847,18,129,59,6,0
American Career College-Los Angeles,Los Angeles,CA,1969,447,1522,0,10,282,213,1234,19,141,64,6,0
American Career College-Ontario,Ontario,CA,1639,381,1258,0,14,173,140,1040,16,182,67,7,0
American College of Healthcare and Technology,Riverside,CA,280,50,230,0,1,7,22,163,4,35,3,45,0
American College of Healthcare and Technology,Riverside,CA,206,23,183,0,0,2,24,177,0,1,0,2,0
American College of Healthcare and Technology-Santa Ana,Santa Ana,CA,54,6,48,0,0,4,0,38,0,4,0,8,0
American Film Institute Conservatory,Los Angeles,CA,423,189,234,0,0,28,36,37,1,128,21,5,167
American Institute of Massage Therapy,Santa Ana,CA,20,2,18,0,0,14,1,2,0,3,0,0,0
American Jewish University,Los Angeles,CA,108,42,66,1,0,3,1,7,0,80,1,13,3
American Medical Sciences Center,Glendale,CA,161,11,150,0,2,10,9,98,1,37,3,0,1
American River College,Sacramento,CA,27422,14210,13212,656,150,3294,1839,8682,254,10061,1413,1678,51
American University of Health Sciences,Signal Hill,CA,510,141,369,0,22,236,54,119,24,29,16,8,2
Angeles College,Los Angeles,CA,369,68,301,0,2,223,30,71,1,8,5,1,28
Angeles Institute,ARTESIA,CA,97,22,75,0,1,19,22,53,0,0,1,1,0
Annenberg School of Nursing,Reseda,CA,21,5,16,0,0,2,2,10,0,6,0,0,1
Antelope Valley Community College District,Lancaster,CA,11840,5184,6656,205,29,456,1544,7433,20,1715,449,173,21
Antioch University-Los Angeles,Culver City,CA,867,227,640,54,0,49,28,108,0,475,40,155,12
Antioch University-Santa Barbara,Santa Barbara,CA,279,65,214,9,1,5,1,80,1,139,5,37,10
Arizona College-Ontario,Ontario,CA,210,23,187,0,1,21,28,113,3,22,22,0,0
Art Center College of Design,Pasadena,CA,2420,1033,1387,1,1,668,36,221,5,277,88,0,1124
Asher College,Sacramento,CA,802,455,347,0,11,141,278,157,12,178,8,17,0
Ashford University,San Diego,CA,34190,12414,21776,36,258,1090,9911,6635,349,13925,1404,565,53
Asian-American International Beauty College,Westminster,CA,463,84,379,0,0,452,2,3,0,3,0,0,3
Associated Barber College of San Diego,San Diego,CA,115,101,14,0,0,8,25,67,0,12,0,3,0
Associated Technical College-Los Angeles,Los Angeles,CA,202,49,153,0,0,1,63,49,2,60,3,24,0
Associated Technical College-San Diego,San Diego,CA,94,50,44,0,0,0,10,57,3,24,0,0,0
ATA College,El Cajon,CA,54,25,29,0,0,1,7,19,0,27,0,0,0
ATA College,El Cajon,CA,264,12,252,0,0,4,114,8,0,95,23,20,0
ATA College,El Cajon,CA,177,8,169,14,0,5,38,6,0,79,35,14,0
ATI College-Whittier,Whitter,CA,114,19,95,0,3,13,4,73,0,17,0,1,3
Aveda Institute-Los Angeles,Los Angeles,CA,24,0,24,0,1,0,5,7,0,10,1,0,0
Aviation Institute of Maintenance-Fremont,Fremont,CA,240,223,17,1,2,48,23,70,21,40,33,3,0
Azusa Pacific University,Azusa,CA,7169,2036,5133,430,23,1027,491,2643,65,1914,308,443,255
Bakersfield College,Bakersfield,CA,26873,11728,15145,0,75,1201,1341,19241,28,3973,827,153,34
Baldwin Park Adult & Community Education,Baldwin Park,CA,405,261,144,0,1,24,8,351,1,18,2,0,0
Barstow Community College,Barstow,CA,2884,977,1907,56,16,121,532,1267,35,684,186,34,9
Bay Area Medical Academy,San Francisco,CA,211,20,191,0,3,14,49,102,0,12,17,7,7
Beaumont Adult School,Beaumont,CA,81,4,77,0,2,7,13,48,0,11,0,0,0
Bellus Academy-Chula Vista,Chula Vista,CA,398,39,359,0,2,32,54,248,5,31,26,0,0
Bellus Academy-El Cajon,El Cajon,CA,187,7,180,0,3,8,22,56,2,63,29,4,0
Bellus Academy-Poway,Poway,CA,436,21,415,0,9,30,31,163,7,144,51,1,0
Bergin University of Canine Studies,Penngrove,CA,24,2,22,0,0,0,0,2,0,13,2,4,3
Berkeley City College,Berkeley,CA,6122,2659,3463,304,11,1159,992,1815,13,1336,455,227,114
Berkeley School of Theology,Berkeley,CA,88,49,39,0,1,8,42,10,1,10,2,0,14
Bethesda University,Anaheim,CA,264,188,76,0,0,23,20,43,1,8,8,1,160
Beverly Hills Design Institute,Beverly Hills,CA,20,6,14,0,0,1,7,4,0,4,2,0,2
Beyond 21st Century Beauty Academy,Santa Fe Springs,CA,122,6,116,0,1,3,8,101,0,9,0,0,0
Biola University,La Mirada,CA,5387,2405,2982,0,9,869,178,1022,18,2127,368,254,542
Blake Austin College,Vacaville,CA,18,4,14,0,0,0,0,9,0,0,1,8,0
Borner's Barber College,Los Angeles,CA,38,31,7,0,0,8,14,14,0,1,1,0,0
Brand College,Glendale,CA,21,19,2,0,0,8,2,6,0,5,0,0,0
Bridges Beauty College,Victorville,CA,86,12,74,0,0,9,9,50,1,17,0,0,0
Brownson Technical School,Anaheim,CA,264,264,0,0,0,27,10,173,2,52,0,0,0
Butte College,Oroville,CA,9362,4172,5190,0,134,509,205,3154,31,4576,544,111,98
Butte County Regional Occupational Program,Chico,CA,29,2,27,0,0,1,0,6,0,22,0,0,0
Cabrillo College,Aptos,CA,9149,4001,5148,260,17,236,106,4453,18,3685,486,106,42
California Aeronautical University,Bakersfield,CA,333,286,47,0,0,35,25,108,5,145,11,4,0
California Baptist University,Riverside,CA,11495,3915,7580,0,63,723,968,4620,86,3736,611,388,300
California Barber and Beauty College,San Diego,CA,71,67,4,0,7,10,1,39,0,14,0,0,0
California Beauty School,Modesto,CA,55,1,54,0,1,0,1,38,1,13,0,1,0
California Career College,Canoga Park,CA,150,49,101,0,0,63,11,41,0,31,2,0,2
California Career Institute,Anaheim,CA,339,39,300,0,1,48,92,164,0,20,10,4,0
California Christian College,Fresno,CA,13,7,6,0,0,1,3,4,0,4,0,1,0
California College of Barbering and Cosmetology,Stockton,CA,246,36,210,0,3,19,21,149,11,40,2,0,1
California College of Music,Pasadena,CA,19,12,7,0,0,2,5,3,0,3,0,0,6
California College of the Arts,San Francisco,CA,1501,532,969,82,3,208,53,200,2,291,79,69,596
California Hair Design Academy,La Mesa,CA,144,28,116,0,1,11,14,48,2,44,24,0,0
California Healing Arts College,Carson,CA,263,35,228,0,1,11,77,151,9,14,0,0,0
California Health Sciences University,Clovis,CA,391,188,203,2,1,184,10,55,0,112,13,16,0
California Indian Nations College,Palm Desert,CA,76,17,59,1,39,0,0,26,0,0,8,1,2
California Institute of Advanced Management,Alhambra,CA,131,45,86,0,0,2,0,0,0,12,0,0,117
California Institute of Arts & Technology,San Diego,CA,356,290,66,1,3,8,73,38,4,68,162,0,0
California Institute of Arts & Technology-National City,National City,CA,166,147,19,0,1,13,40,19,2,29,62,0,0
California Institute of Integral Studies,San Francisco,CA,2145,407,1738,182,3,107,99,208,4,906,93,672,53
California Institute of Medical Science,Clovis,CA,10,0,10,0,0,0,0,5,0,5,0,0,0
California Institute of Technology,Pasadena,CA,2401,1464,937,0,2,517,53,315,1,641,143,11,718
California Institute of the Arts,Valencia,CA,1440,545,895,175,5,114,66,177,2,485,78,47,466
California Intercontinental University,Irvine,CA,506,270,236,0,4,39,158,88,6,62,4,22,123
California Jazz Conservatory,Berkeley,CA,23,18,5,2,0,0,1,6,1,14,1,0,0
California Lutheran University,Thousand Oaks,CA,3615,1545,2070,0,4,190,133,1399,12,1345,194,57,281
California Miramar University,San Diego,CA,216,153,63,0,3,10,26,32,0,26,13,8,98
California Northstate University,Elk Grove,CA,962,428,534,1,0,465,22,40,7,194,87,137,10
California Nurses Educational Institute,Palm Springs,CA,205,38,167,0,0,9,5,161,0,30,0,0,0
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,22000,11266,10734,1486,23,3086,161,4716,57,11284,1671,670,332
California State Polytechnic University-Humboldt,Arcata,CA,6025,2504,3521,829,109,171,179,1803,18,3032,401,277,35
California State Polytechnic University-Pomona,Pomona,CA,27503,14779,12724,2860,32,6110,755,14370,45,3849,967,756,619
California State University Maritime Academy,Vallejo,CA,849,673,176,96,6,91,22,190,7,399,83,47,4
California State University-Bakersfield,Bakersfield,CA,9613,3162,6451,1024,28,651,375,6439,18,1360,207,396,139
California State University-Channel Islands,Camarillo,CA,6128,2099,4029,586,13,412,123,3594,14,1443,223,214,92
California State University-Chico,Chico,CA,14183,6337,7846,1206,56,808,366,5192,27,6179,752,513,290
California State University-Dominguez Hills,Carson,CA,16426,6186,10240,1843,18,1234,1815,11135,37,1079,355,473,280
California State University-East Bay,Hayward,CA,13673,5481,8192,1729,21,2990,1202,4951,133,2218,658,525,975
California State University-Fresno,Fresno,CA,23999,9584,14415,3000,69,2881,672,14189,32,4055,573,812,716
California State University-Fullerton,Fullerton,CA,40386,16775,23611,4016,40,8817,905,20265,62,6637,1450,1000,1210
California State University-Long Beach,Long Beach,CA,38973,16087,22886,3671,43,8114,1422,18932,85,6288,1689,899,1501
California State University-Los Angeles,Los Angeles,CA,26460,10904,15556,2977,33,2994,1045,19281,19,1481,400,618,589
California State University-Monterey Bay,Seaside,CA,7045,2688,4357,764,11,461,178,3750,20,1863,318,277,167
California State University-Northridge,Northridge,CA,37579,16582,20997,4940,28,3344,1750,20107,52,7535,1110,2023,1630
California State University-Sacramento,Sacramento,CA,31818,13586,18232,3391,88,6313,2009,11975,301,7530,1810,1126,666
California State University-San Bernardino,San Bernardino,CA,19803,7420,12383,2353,31,1124,1028,13565,30,2272,489,678,586
California State University-San Marcos,San Marcos,CA,15109,5955,9154,1493,36,1477,528,7581,44,3881,834,496,232
California State University-Stanislaus,Turlock,CA,10154,3293,6861,1086,24,907,242,6233,66,1887,252,473,70
California University of Science and Medicine,Colton,CA,536,270,266,0,0,220,13,75,1,153,29,45,0
California University-Silicon Valley,Sunnyvale,CA,22,5,17,0,0,14,0,0,0,0,0,0,8
California Western School of Law,San Diego,CA,623,241,382,1,2,44,17,170,3,309,42,24,12
Canada College,Redwood City,CA,5388,2229,3159,152,4,877,131,2330,83,1284,303,213,163
Capstone College,Pasadena,CA,151,146,5,0,0,10,8,94,0,39,0,0,0
Career Academy of Beauty,Garden Grove,CA,205,3,202,0,5,18,13,118,2,39,5,5,0
Career Care Institute,Lancaster,CA,579,104,475,0,1,59,90,357,4,62,6,0,0
Career Development Institute Inc,Los Angeles,CA,176,34,142,0,2,22,72,59,0,8,2,1,10
Career Networks Institute,Santa Ana,CA,714,231,483,0,19,201,56,291,9,110,16,5,7
Carrington College-Citrus Heights,Citrus Heights,CA,34,4,30,0,1,3,1,14,0,13,0,2,0
Carrington College-Ontario,Ontario,CA,40,4,36,0,0,1,1,30,0,6,2,0,0
Carrington College-Pleasant Hill Campus,Pleasant Hill,CA,466,86,380,0,2,69,59,208,4,61,21,36,6
Carrington College-Sacramento,Sacramento,CA,1837,195,1642,0,42,153,185,804,39,414,28,165,7
Carrington College-San Jose,San Jose,CA,669,83,586,0,0,70,17,454,3,58,2,44,21
Carrington College-San Leandro Campus,San Leandro,CA,403,42,361,0,1,24,67,251,6,14,11,22,7
Carrington College-Stockton,Stockton,CA,412,59,353,0,1,22,41,241,12,60,0,34,1
Casa Loma College-Los Angeles,Sherman Oaks,CA,415,154,261,0,8,43,14,238,3,98,8,3,0
CBD College,Los Angeles,CA,1214,349,865,5,7,246,106,452,18,214,0,171,0
Central California School of Continuing Education,San Luis Obispo,CA,82,7,75,0,0,0,0,62,0,20,0,0,0
Central Coast College,Salinas,CA,446,14,432,121,0,9,5,393,5,20,7,7,0
Cerritos College,Norwalk,CA,19469,9181,10288,0,50,1567,1293,13465,67,1907,460,632,28
Cerro Coso Community College,Ridgecrest,CA,4919,2097,2822,0,95,204,378,2255,18,1689,236,39,5
CES College,Burbank,CA,77,4,73,0,0,1,1,33,0,42,0,0,0
CET-Coachella,Coachella,CA,78,61,17,0,0,0,0,76,0,2,0,0,0
CET-Colton,Colton,CA,96,92,4,0,0,0,7,77,0,10,1,1,0
CET-El Centro,El Centro,CA,148,114,34,0,0,0,1,146,0,0,1,0,0
CET-Oxnard,Oxnard,CA,81,31,50,0,0,0,0,79,0,2,0,0,0
CET-Salinas,Salinas,CA,157,26,131,0,0,1,0,156,0,0,0,0,0
CET-San Diego,San Diego,CA,196,167,29,0,1,66,19,80,4,23,2,1,0
CET-San Jose,San Jose,CA,183,146,37,0,0,11,6,148,1,12,5,0,0
CET-Santa Maria,Santa Maria,CA,109,36,73,0,0,0,1,102,1,4,1,0,0
CET-Soledad,Soledad,CA,179,173,6,0,0,0,0,178,0,1,0,0,0
CET-Watsonville,Watsonville,CA,103,58,45,0,1,1,1,99,0,1,0,0,0
Chabot College,Hayward,CA,10736,5375,5361,0,19,2459,934,4611,153,1688,687,133,52
Chaffey College,Rancho Cucamonga,CA,19238,7552,11686,405,38,1454,1520,12185,39,2901,635,366,100
Chamberlain University-California,Rancho Cordova,CA,597,133,464,4,1,180,38,108,13,210,24,22,1
Chapman University,Orange,CA,10014,3948,6066,6,15,1747,230,1802,28,4561,798,405,428
Charles A Jones Career and Education Center,Sacramento,CA,98,29,69,0,3,52,15,14,1,13,0,0,0
Charles R Drew University of Medicine and Science,Los Angeles,CA,777,221,556,6,0,126,260,124,7,68,136,56,0
Church Divinity School of the Pacific,Berkeley,CA,64,26,38,1,0,1,0,2,0,54,3,0,4
Cinta Aveda Institute,San Francisco,CA,94,24,70,1,1,7,15,25,2,24,7,13,0
Citrus College,Glendora,CA,9975,4413,5562,256,16,829,366,6426,26,1588,342,171,211
Citrus Heights Beauty College,Citrus Heights,CA,143,2,141,0,4,5,8,12,9,94,2,9,0
City College of San Francisco,San Francisco,CA,16134,7388,8746,0,48,5412,1093,4339,90,3523,805,558,266
Claremont Graduate University,Claremont,CA,1903,764,1139,5,21,228,164,397,11,573,23,121,365
Claremont Lincoln University,Claremont,CA,220,46,174,0,1,19,76,42,4,59,8,8,3
Claremont McKenna College,Claremont,CA,1389,678,711,0,1,215,82,226,3,492,98,58,214
Claremont School of Theology,Claremont,CA,196,114,82,2,0,61,23,8,8,65,7,2,22
Clovis Adult Education,Clovis,CA,210,34,176,0,3,34,10,120,7,28,8,0,0
Coachella Valley Beauty College,La Quinta,CA,120,40,80,0,0,4,0,104,0,5,2,0,5
Coachella Valley Beauty College-Hemet,Hemet,CA,117,22,95,0,1,2,17,70,2,23,2,0,0
Coastline Beauty College,Fountain Valley,CA,195,20,175,0,1,109,10,51,0,19,0,3,2
Coastline Community College,Fountain Valley,CA,8077,4452,3625,129,51,1514,770,2623,35,2324,341,278,141
Coba Academy,Anaheim,CA,111,27,84,0,0,8,8,78,0,14,1,2,0
College of Alameda,Alameda,CA,5673,2409,3264,193,14,1427,1008,1663,27,851,374,197,112
College of Marin,Kentfield,CA,4283,1841,2442,97,8,294,130,1498,11,1955,274,59,54
College of San Mateo,San Mateo,CA,7512,3686,3826,200,8,1610,165,2575,184,1989,508,201,272
College of the Canyons,Santa Clarita,CA,18075,10118,7957,130,37,1846,1008,9154,47,4753,641,489,100
College of the Desert,Palm Desert,CA,10382,4367,6015,23,36,307,255,7838,14,1485,289,77,81
College of the Redwoods,Eureka,CA,4006,1930,2076,163,182,147,125,952,13,1983,355,249,0
College of the Sequoias,Visalia,CA,13170,5514,7656,196,48,429,229,9378,13,2480,412,169,12
College of the Siskiyous,Weed,CA,1204,611,593,23,37,28,41,251,3,697,88,44,15
Columbia College,Sonora,CA,2349,1016,1333,62,37,45,58,527,6,1640,2,32,2
Columbia College,Sonora,CA,6046,2431,3615,0,32,130,1258,677,20,3279,379,93,178
Columbia College,Sonora,CA,1514,233,1281,8,10,24,515,137,3,644,17,147,17
Columbia College,Sonora,CA,182,55,127,0,0,46,3,6,0,18,0,0,109
Columbia College Hollywood,Tarzana,CA,291,169,122,0,7,19,47,34,3,115,22,35,9
Community Christian College,Redlands,CA,485,458,27,0,0,2,345,61,1,35,38,0,3
Compton College,Compton,CA,4082,1487,2595,0,7,217,939,2666,23,79,107,44,0
Concorde Career College-Garden Grove,Garden Grove,CA,803,220,583,0,8,160,37,355,10,53,16,163,1
Concorde Career College-North Hollywood,North Hollywood,CA,676,224,452,0,2,51,31,357,7,43,12,173,0
Concorde Career College-San Bernardino,San Bernardino,CA,825,173,652,0,4,24,87,380,3,68,3,256,0
Concorde Career College-San Diego,San Diego,CA,730,179,551,0,2,53,38,215,7,39,2,374,0
Concordia University-Irvine,Irvine,CA,3744,1377,2367,0,12,301,201,965,14,1781,199,105,166
Contra Costa College,San Pablo,CA,5832,2329,3503,97,7,1078,836,2642,33,702,369,105,60
Contra Costa Medical Career College,Antioch,CA,924,127,797,1,6,101,98,318,114,234,7,46,0
Copper Mountain Community College,Joshua Tree,CA,1402,481,921,19,12,69,104,566,6,524,105,16,0
Cosmo Beauty Academy,Sacramento,CA,114,0,114,0,5,3,25,46,1,17,8,0,9
Cosumnes River College,Sacramento,CA,13294,5672,7622,305,46,3312,1165,3795,183,2978,830,948,37
Crafton Hills College,Yucaipa,CA,5113,2300,2813,26,7,337,212,2669,10,1561,276,38,3
CRU Institute of Cosmetology and Barbering,Garden Grove,CA,112,94,18,0,1,11,5,79,5,8,0,3,0
Cuesta College,San Luis Obispo,CA,9908,4876,5032,253,45,310,251,3358,24,4903,642,358,17
Cuyamaca College,El Cajon,CA,8043,3528,4515,110,43,381,358,2718,25,3753,346,397,22
Cypress College,Cypress,CA,13523,5846,7677,611,23,3238,513,7018,51,1648,781,152,99
Daybreak University,Anaheim,CA,151,15,136,0,1,25,3,0,0,11,1,0,110
De Anza College,Cupertino,CA,16335,8276,8059,330,24,6479,436,4521,73,2826,871,159,946
DeHart Technical School,Modesto,CA,68,66,2,0,0,5,1,41,0,20,1,0,0
Dell'Arte International School of Physical Theatre,Blue Lake,CA,8,1,7,0,0,0,0,0,0,6,0,0,2
Design Institute of San Diego,San Diego,CA,101,9,92,3,2,16,9,21,0,48,1,4,0
Design's School of Cosmetology,Paso Robles,CA,43,1,42,0,0,0,1,21,0,21,0,0,0
DeVry University-California,Ontario,CA,1677,927,750,302,13,174,247,612,49,402,46,100,34
Diablo Valley College,Pleasant Hill,CA,16097,7859,8238,370,33,3135,923,4592,82,4849,1417,463,603
Diamond Beauty College,South El Monte,CA,95,7,88,0,0,70,0,24,0,0,0,1,0
Diversified Vocational College,Los Angeles,CA,276,169,107,0,1,3,93,65,0,86,2,26,0
Dominican School of Philosophy & Theology,Berkeley,CA,62,53,9,0,0,11,0,7,1,31,1,2,9
Dominican University of California,San Rafael,CA,1877,528,1349,0,6,470,76,406,6,499,93,47,274
Dongguk University Los Angeles,Los Angeles,CA,94,35,59,0,0,44,3,1,1,9,3,0,33
Downey Adult School,Downey,CA,813,184,629,0,2,48,46,615,5,73,18,6,0
East Los Angeles College,Monterey Park,CA,27855,13628,14227,358,42,2106,1654,18900,46,2240,242,2484,141
El Camino Community College District,Torrance,CA,19944,9430,10514,0,39,2356,2502,10092,74,2597,988,1006,290
Elite Cosmetology School,PALM DESERT,CA,90,13,77,0,3,6,7,38,2,27,0,7,0
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,198,35,163,0,0,51,7,17,1,87,6,17,12
Empire College,Santa Rosa,CA,78,26,52,0,0,5,1,14,1,27,0,30,0
Epic Bible College & Graduate School,Sacramento,CA,114,52,62,0,0,8,39,16,2,34,11,0,4
Escondido Adult School,Escondido,CA,174,44,130,2,3,14,1,123,1,26,6,0,0
Estes Institute of Cosmetology Arts and Science,Visalia,CA,57,2,55,0,2,2,0,40,0,10,2,1,0
Evergreen Valley College,San Jose,CA,7952,3578,4374,45,37,3106,239,3501,26,572,265,154,52
Feather River Community College District,Quincy,CA,1383,813,570,39,46,38,156,369,22,563,4,162,23
Federico Beauty Institute,Sacramento,CA,293,38,255,0,2,40,35,118,3,75,17,1,2
FIDM-Fashion Institute of Design & Merchandising,Los Angeles,CA,1814,320,1494,0,20,207,153,477,17,530,4,77,329
Fielding Graduate University,Santa Barbara,CA,1000,215,785,0,17,39,167,129,0,500,66,71,11
Five Branches University,Santa Cruz,CA,335,73,262,0,1,144,6,11,0,115,9,6,43
Flair Beauty College,Valencia,CA,44,1,43,0,2,1,1,19,1,19,1,0,0
Folsom Lake College,Folsom,CA,8796,3932,4864,237,54,1029,410,1947,56,4161,559,556,24
Foothill College,Los Altos Hills,CA,12434,6609,5825,312,27,3017,425,3958,129,3460,777,252,389
Franciscan School of Theology,San Diego,CA,66,38,28,0,1,7,1,20,0,34,0,2,1
Fredrick and Charles Beauty College,Eureka,CA,72,9,63,0,12,4,4,16,0,27,8,1,0
Fremont University,Cerritos,CA,151,47,104,0,0,9,22,74,0,19,9,18,0
Fresno City College,Fresno,CA,22609,10228,12381,428,105,2462,1061,14616,38,3568,610,143,6
Fresno Pacific University,Fresno,CA,3032,785,2247,0,25,174,161,1741,14,727,23,107,60
Fuller Theological Seminary,Pasadena,CA,2089,1125,964,0,5,207,160,149,6,836,100,76,550
Fullerton College,Fullerton,CA,18370,8571,9799,1095,24,2486,511,10824,35,2972,908,453,157
Galaxy Medical College,North Hollywood,CA,49,10,39,0,0,0,1,6,0,37,1,2,2
Gavilan College,Gilroy,CA,4561,2151,2410,108,8,349,106,2806,15,986,184,105,2
Gemological Institute of America-Carlsbad,Carlsbad,CA,154,70,84,2,0,16,5,15,0,30,1,23,64
Glendale Career College,Glendale,CA,661,160,501,0,11,128,42,165,6,158,127,22,2
Glendale Career College-North-West College-Bakersfield,Bakersfield,CA,96,9,87,0,1,11,7,26,3,20,28,0,0
Gnomon,Hollywood,CA,539,334,205,7,0,95,11,76,4,164,33,50,106
Golden Gate University,San Francisco,CA,2661,1481,1180,10,23,787,329,380,40,690,15,384,13
Golden West College,Huntington Beach,CA,10053,4593,5460,153,14,2894,202,3549,47,2389,494,178,286
Grace Mission University,Fullerton,CA,342,165,177,0,0,311,0,31,0,0,0,0,0
Graduate Theological Union,Berkeley,CA,172,84,88,11,0,25,9,1,2,53,8,28,46
Grossmont College,El Cajon,CA,12862,5313,7549,209,34,808,681,4960,53,5077,651,425,173
Gurnick Academy of Medical Arts,San Mateo,CA,2668,571,2097,0,11,738,204,873,53,442,206,139,2
Hacienda La Puente Adult Education,La Puente,CA,337,126,211,0,1,53,14,211,1,27,0,30,0
